filename,Title,Author,topics,session,category
"V01 Authority (Stanford Encyclopedia of Philosophy).pdf","Authority","Stanford Encyclopedia of Philosophy","autorität, legitimität, politische philosophie",1,literature
"V01 Geuss - Philosophy and Real Politics.pdf","Philosophy and Real Politics","Raymond Geuss","politische philosophie, realismus, legitimität, normativität",1,literature
"V02 Hobbes - Leviathan.pdf","Leviathan","Thomas Hobbes","naturzustand, gesellschaftsvertrag, souveränität, sicherheit",2,literature
"V02 Locke - Second Treatise.pdf","Second Treatise of Government","John Locke","naturrechte, eigentum, begrenzte regierung, legitimität",2,literature
"V03 Berlin, I - Two Concepts.pdf","Two Concepts of Liberty","Isaiah Berlin","negative freiheit, positive freiheit, paternalismus",3,literature
"V03 Mbebe - Necropolitics.pdf","Necropolitics","Achille Mbembe","souveränität, gewalt, macht über leben und tod",3,literature
"V03 Mill - On Liberty.pdf","On Liberty","John Stuart Mill","schadensprinzip, freiheit, selbstbestimmung",3,literature
"V03 Ypi - Free.pdf","Free","Lea Ypi","freiheit, sozialismus, kapitalismus, autonomie",3,literature
"V04 Robeyns - Wellbeing, Freedom and Social Justice.pdf","Wellbeing, Freedom and Social Justice","Ingrid Robeyns","capability-ansatz, gemeinwohl, gerechtigkeit",4,literature
"V04 Sen - The Idea of Justice.pdf","The Idea of Justice","Amartya Sen","gerechtigkeit, gemeinwohl, capability-ansatz",4,literature
"V05 Griffin - On Human Rights.pdf","On Human Rights","James Griffin","menschenrechte, universalismus, würde",5,literature
"V05 Mutua - Savages Victims and Saviors.pdf","Savages, Victims, and Saviors","Makau Mutua","menschenrechte, postkoloniale kritik, kulturrelativismus",5,literature
"V06 Dill - The Moral Muddle of Blaming the West for Russia’s Aggression.pdf","The Moral Muddle of Blaming the West for Russia’s Aggression","Janina Dill","kriegsethik, ukraine, verantwortung",6,literature
"V06 Walzer - Just and unjust Wars.pdf","Just and Unjust Wars","Michael Walzer","gerechter krieg, selbstverteidigung, jus ad bellum",6,literature
"V07 Anderson - What is the point of Equality.pdf","What is the Point of Equality?","Elizabeth Anderson","gleichheit, demokratische gleichheit, gerechtigkeit",7,literature
"V07 Nozick, R - Anarchy, state, and Utopia.pdf","Anarchy, State, and Utopia","Robert Nozick","libertärer staat, eigentum, anspruchstheorie",7,literature
"V07 Rawls - Justice as Fairness.pdf","Justice as Fairness: A Restatement","John Rawls","grundgüter, differenzprinzip, gerechtigkeit",7,literature
"V08 hooks - Feminism.pdf","Feminism: A Movement to End Sexist Oppression","bell hooks","feminismus, unterdrückung, intersektionalität",8,literature
"V08 Young - Democracy and Justice.pdf","Democracy and Justice","Iris Marion Young","unterdrückung, macht, gerechtigkeit, arbeit",8,literature
"V09 Carens, J - Aliens and Citizens.pdf","Aliens and Citizens","Joseph H. Carens","offene grenzen, kosmopolitismus, geburtsrechts-privileg",9,literature
"V09 Fine - Freedom of Association is not the answer.pdf","Freedom of Association Is Not the Answer","Sarah Fine","vereinigungsfreiheit, migration, grenzen",9,literature
"V09 Miller Immigration The Case for Limits.pdf","Immigration: The Case for Limits","David Miller","migration, territoriale souveränität, begrenzung",9,literature
"V09 Shachar - The Birthright Lottery.pdf","The Birthright Lottery","Ayelet Shachar","staatsbürgerschaft, geburtsrechts-privileg, gerechtigkeit",9,literature
"V10 George - Progress and Poverty.pdf","Progress and Poverty","Henry George","bodenwertsteuer, wohnen, spekulation",10,literature
"V10 Hayek - The Constitution of Liberty.pdf","The Constitution of Liberty","Friedrich A. Hayek","markt, freiheit, preiskontrollen",10,literature
"V11 Anderson - The Epistemology of Democracy.pdf","The Epistemology of Democracy","Elizabeth Anderson","epistemische demokratie, deliberative demokratie, wissen",11,literature
"V11 Przeworski - Minimalist Conception of Democracy.pdf","Minimalist Conception of Democracy: A Defense","Adam Przeworski","minimalismus, demokratie, machtwechsel, konfliktregulierung",11,literature
"V11 Rousseau - Gesellschaftsvertrag.pdf","Du contrat social","Jean-Jacques Rousseau","allgemeiner wille, volkssouveränität, partizipation",11,literature
"V12 Gabor et al - Carrots without sticks.pdf","Carrots without Sticks","Daniela Gabor et al.","technokratie, zentralbanken, klimapolitik",12,literature
"V12 Landmore - Democratic Reason.pdf","Democratic Reason","Hélène Landemore","kollektive intelligenz, epistemische demokratie",12,literature
"V12 ONeil - Weapons of Math Destruction.pdf","Weapons of Math Destruction","Cathy O’Neil","algorithmische governance, fairness, transparenz",12,literature
"V12 Platon - Der Staat.pdf","Politeia (Der Staat)","Platon","philosophenkönig, technokratie, wissen",12,literature
"V13 Broome et al - A World Climate Bank.pdf","A World Climate Bank","John Broome; Duncan K. Foley","klimafinanzierung, intergenerationelle gerechtigkeit",13,literature
"V13 Rawls - A Theory of Justice.pdf","A Theory of Justice","John Rawls","gerechter spargrundsatz, intergenerationelle gerechtigkeit",13,literature
